Country,State,StateName,Region,SalesPerson,SalesManager,SalesValue,DateOfSale,YearOfSale,MonthOfSale,Season
USA,American Samoa,AS,West,Aisha Abubakar,Mohammad Rahman,"780,148.00","Friday, August 7, 2015",2015,Aug,Summer
USA,Alabama,AL,North,David Kim,Mei Chen,"18,370,581.00","Thursday, December 12, 2013",2013,Dec,Winter
USA,Puerto Rico,PR,South-West,Aisha Abubakar,Mohammad Rahman,"21,175,053.00","Wednesday, October 16, 2013",2013,Oct,Autumn
USA,Wisconsin,WI,South-West,Anna Nowak,Sophia Li,"8,206,440.00","Friday, January 27, 2017",2017,Jan,Winter
USA,Vermont,VT,North,Yuri Petrov,Elena Costa,"884,734.00","Friday, April 30, 2010",2010,Apr,Spring
USA,North Dakota,ND,South-East,Fatima Mohamed,Mohammad Rahman,"4,265,708.00","Tuesday, December 12, 2017",2017,Dec,Winter
USA,Iowa,IA,East,David Kim,Sophia Li,"9,505,078.00","Tuesday, April 28, 2015",2015,Apr,Spring
USA,Texas,TX,North,Carlos Rodriguez,Mei Chen,"5,353,482.00","Saturday, July 31, 2010",2010,Jul,Summer
USA,Utah,UT,North-West,Priya Patel,Elena Costa,"1,641,432.00","Monday, December 25, 2017",2017,Dec,Winter
USA,New York,NY,South,Ingrid Svensson,Mohammad Rahman,"11,308,246.00","Monday, September 2, 2019",2019,Sep,Autumn
USA,New Mexico,NM,North,David Kim,Elena Costa,"1,177,008.00","Monday, August 17, 2020",2020,Aug,Summer
USA,Delaware,DE,North-West,Miguel Fernandez,Mohammad Rahman,"2,462,567.00","Saturday, June 22, 2013",2013,Jun,Summer
USA,Maryland,MD,West,Priya Patel,Mei Chen,"6,780,427.00","Wednesday, April 6, 2016",2016,Apr,Spring
USA,Texas,TX,North,Priya Patel,Elena Costa,"1,757,539.00","Saturday, March 5, 2016",2016,Mar,Spring
USA,New Hampshire,NH,North-East,Ahmed Hassan,Tariq Khan,"1,053,433.00","Tuesday, July 7, 2015",2015,Jul,Summer
USA,Arizona,AZ,South-West,Maria Garcia,Tariq Khan,"15,099,898.00","Sunday, June 25, 2017",2017,Jun,Summer
USA,Virginia,VA,North,Yuki Tanaka,Sophia Li,"18,989,511.00","Friday, March 12, 2010",2010,Mar,Spring
USA,Wisconsin,WI,South-East,Miguel Fernandez,Mohammad Rahman,"7,306,689.00","Wednesday, August 14, 2013",2013,Aug,Summer
USA,Massachusetts,MA,North,David Kim,Elena Costa,"3,052,837.00","Thursday, August 9, 2018",2018,Aug,Summer
USA,Arizona,AZ,East,Fatima Mohamed,Mei Chen,"991,927.00","Monday, August 5, 2019",2019,Aug,Summer
USA,Wisconsin,WI,East,Isabella Rossi,Mohammad Rahman,"2,799,143.00","Wednesday, November 25, 2020",2020,Nov,Autumn
USA,South Dakota,SD,South-West,Yuri Petrov,Sophia Li,"1,416,060.00","Friday, January 5, 2018",2018,Jan,Winter
USA,Utah,UT,South-West,Ahmed Hassan,Mei Chen,"2,068,504.00","Friday, June 8, 2012",2012,Jun,Summer
USA,Montana,MT,North-West,Jamal Al-Farsi,Sophia Li,"4,910,521.00","Saturday, December 3, 2011",2011,Dec,Winter
USA,Rhode Island,RI,North-East,Maria Garcia,Elena Costa,"391,938.00","Saturday, July 2, 2011",2011,Jul,Summer
USA,Kansas,KS,South-East,Marcelo Silva,Mohammad Rahman,"19,509,800.00","Friday, July 11, 2014",2014,Jul,Summer
USA,South Dakota,SD,South,Isabella Rossi,Mei Chen,"1,263,532.00","Wednesday, September 28, 2016",2016,Sep,Autumn
USA,North Dakota,ND,South-East,Priya Patel,Tariq Khan,"14,869,571.00","Wednesday, September 21, 2011",2011,Sep,Autumn
USA,Northern Mariana Islands,MP,South,Marcelo Silva,Sophia Li,"2,627,959.00","Saturday, February 13, 2010",2010,Feb,Winter
USA,Virginia,VA,North,David Kim,Mei Chen,"2,092,930.00","Saturday, April 12, 2014",2014,Apr,Spring
USA,Virginia,VA,West,Isabella Rossi,Sophia Li,"4,146,176.00","Tuesday, May 19, 2015",2015,May,Spring
USA,Mississippi,MS,South-West,Yuki Tanaka,Tariq Khan,"9,703,772.00","Saturday, April 11, 2020",2020,Apr,Spring
USA,Kentucky,KY,South-East,Jamal Al-Farsi,Mohammad Rahman,"6,241,425.00","Sunday, July 8, 2018",2018,Jul,Summer
USA,Montana,MT,North-West,Ahmed Hassan,Sophia Li,"957,877.00","Wednesday, August 27, 2014",2014,Aug,Summer
USA,Alaska,AK,North-West,Miguel Fernandez,Elena Costa,"16,784,767.00","Saturday, March 17, 2012",2012,Mar,Spring
USA,Washington,WA,South,David Kim,Sophia Li,"15,736,019.00","Tuesday, October 11, 2016",2016,Oct,Autumn
USA,Michigan,MI,South-West,Nguyen Minh,Tariq Khan,"9,899,287.00","Friday, April 8, 2011",2011,Apr,Spring
USA,North Carolina,NC,West,Leila Abadi,Mei Chen,"373,265.00","Monday, May 17, 2010",2010,May,Spring
USA,Puerto Rico,PR,East,Jamal Al-Farsi,Elena Costa,"1,150,809.00","Saturday, September 23, 2017",2017,Sep,Autumn
USA,North Carolina,NC,West,Isabella Rossi,Mohammad Rahman,"4,153,082.00","Sunday, February 23, 2020",2020,Feb,Winter
USA,New Hampshire,NH,East,Anna Nowak,Mei Chen,"7,645,017.00","Friday, November 20, 2020",2020,Nov,Autumn
USA,New Hampshire,NH,North-East,Aisha Abubakar,Sophia Li,"2,414,336.00","Tuesday, November 6, 2018",2018,Nov,Autumn
USA,Pennsylvania,PA,North-East,Yuki Tanaka,Sophia Li,"4,982,288.00","Wednesday, May 26, 2010",2010,May,Spring
USA,Arizona,AZ,West,Yuri Petrov,Sophia Li,"640,918.00","Friday, May 17, 2019",2019,May,Spring
USA,Utah,UT,South-East,Fatima Mohamed,Mei Chen,"16,630,657.00","Thursday, April 29, 2010",2010,Apr,Spring
USA,Colorado,CO,South-East,Carlos Rodriguez,Sophia Li,"12,808,014.00","Thursday, October 10, 2013",2013,Oct,Autumn
USA,Montana,MT,North-East,Priya Patel,Tariq Khan,"944,892.00","Saturday, January 31, 2015",2015,Jan,Winter
USA,Guam,GU,East,Liu Wei,Elena Costa,"8,063,297.00","Thursday, June 27, 2013",2013,Jun,Summer
USA,South Carolina,SC,South-East,Isabella Rossi,Sophia Li,"11,153,313.00","Tuesday, May 13, 2014",2014,May,Spring
USA,Mississippi,MS,South-West,Isabella Rossi,Tariq Khan,"2,940,012.00","Tuesday, June 6, 2017",2017,Jun,Summer
USA,New Jersey,NJ,North-West,Juan Lopez,Elena Costa,"2,573,972.00","Friday, March 29, 2019",2019,Mar,Spring
USA,West Virginia,WV,West,Juan Lopez,Sophia Li,"12,011,420.00","Saturday, May 11, 2013",2013,May,Spring
USA,Iowa,IA,West,Marcelo Silva,Sophia Li,"11,212,648.00","Friday, August 24, 2018",2018,Aug,Summer
USA,Georgia,GA,North-East,Marcelo Silva,Mei Chen,"5,584,724.00","Wednesday, April 29, 2015",2015,Apr,Spring
USA,Alabama,AL,East,Miguel Fernandez,Mohammad Rahman,"8,190,991.00","Monday, January 9, 2012",2012,Jan,Winter
USA,Alaska,AK,North-West,Marcelo Silva,Sophia Li,"1,247,836.00","Sunday, September 11, 2011",2011,Sep,Autumn
USA,Ohio,OH,South-East,Aisha Abubakar,Mei Chen,"5,966,440.00","Wednesday, August 29, 2018",2018,Aug,Summer
USA,New Jersey,NJ,East,Leila Abadi,Mohammad Rahman,"13,498,496.00","Monday, September 21, 2020",2020,Sep,Autumn
USA,South Carolina,SC,South,Anna Nowak,Sophia Li,"15,662,418.00","Tuesday, December 12, 2017",2017,Dec,Winter
USA,Texas,TX,South-East,Aisha Abubakar,Mohammad Rahman,"3,783,317.00","Monday, April 23, 2018",2018,Apr,Spring
USA,Connecticut,CT,South-East,Maria Garcia,Mei Chen,"17,797,013.00","Wednesday, April 18, 2018",2018,Apr,Spring
USA,Mississippi,MS,North,Juan Lopez,Tariq Khan,"20,319,313.00","Wednesday, September 24, 2014",2014,Sep,Autumn
USA,Northern Mariana Islands,MP,East,Marcelo Silva,Elena Costa,"7,750,858.00","Monday, July 13, 2015",2015,Jul,Summer
USA,Missouri,MO,West,Yuri Petrov,Tariq Khan,"14,705,115.00","Saturday, April 30, 2011",2011,Apr,Spring
USA,Louisiana,LA,East,Miguel Fernandez,Elena Costa,"2,543,878.00","Wednesday, July 8, 2015",2015,Jul,Summer
USA,Ohio,OH,South,Nguyen Minh,Mei Chen,"2,557,500.00","Saturday, September 14, 2013",2013,Sep,Autumn
USA,American Samoa,AS,South-East,Miguel Fernandez,Elena Costa,"9,079,227.00","Sunday, April 12, 2015",2015,Apr,Spring
USA,Alaska,AK,West,Fatima Mohamed,Tariq Khan,"5,266,847.00","Thursday, September 6, 2018",2018,Sep,Autumn
USA,Oklahoma,OK,South-West,Marcelo Silva,Elena Costa,"3,343,667.00","Saturday, May 21, 2016",2016,May,Spring
USA,Nevada,NV,South,Anna Nowak,Tariq Khan,"10,065,364.00","Friday, September 23, 2011",2011,Sep,Autumn
USA,Idaho,ID,North-West,Miguel Fernandez,Elena Costa,"5,173,719.00","Wednesday, July 17, 2019",2019,Jul,Summer
USA,Massachusetts,MA,South,Liu Wei,Mei Chen,"2,460,136.00","Saturday, April 4, 2020",2020,Apr,Spring
USA,Utah,UT,North-West,Mohammed Khan,Mei Chen,"14,750,318.00","Saturday, February 13, 2016",2016,Feb,Winter
USA,Wyoming,WY,North,Leila Abadi,Elena Costa,"5,118,676.00","Tuesday, October 6, 2015",2015,Oct,Autumn
USA,Maine,ME,North-East,Ahmed Hassan,Elena Costa,"7,207,101.00","Saturday, August 1, 2020",2020,Aug,Summer
USA,Alaska,AK,North,David Kim,Mohammad Rahman,"19,507,152.00","Sunday, November 1, 2015",2015,Nov,Autumn
USA,Trust Territories,TT,North,Priya Patel,Mei Chen,"6,858,528.00","Wednesday, November 28, 2018",2018,Nov,Autumn
USA,Michigan,MI,East,Miguel Fernandez,Sophia Li,"2,920,726.00","Friday, February 4, 2011",2011,Feb,Winter
USA,Rhode Island,RI,South-West,Priya Patel,Mei Chen,"5,091,345.00","Thursday, June 28, 2018",2018,Jun,Summer
USA,Florida,FL,South,Yuki Tanaka,Tariq Khan,"16,625,965.00","Wednesday, December 2, 2020",2020,Dec,Winter
USA,Montana,MT,North-West,Nguyen Minh,Mohammad Rahman,"16,399,230.00","Friday, January 10, 2014",2014,Jan,Winter
USA,Pennsylvania,PA,East,Liu Wei,Tariq Khan,"1,025,645.00","Wednesday, October 25, 2017",2017,Oct,Autumn
USA,Michigan,MI,South-East,Liu Wei,Mei Chen,"15,603,846.00","Saturday, April 25, 2015",2015,Apr,Spring
USA,Delaware,DE,South-West,Miguel Fernandez,Sophia Li,"1,716,059.00","Wednesday, October 24, 2012",2012,Oct,Autumn
USA,Rhode Island,RI,South-West,Nguyen Minh,Elena Costa,"1,414,226.00","Tuesday, March 13, 2018",2018,Mar,Spring
USA,Oregon,OR,North-East,Mohammed Khan,Mohammad Rahman,"3,697,370.00","Wednesday, July 20, 2011",2011,Jul,Summer
USA,Alabama,AL,South,Priya Patel,Mohammad Rahman,"1,706,298.00","Wednesday, August 1, 2018",2018,Aug,Summer
USA,Arizona,AZ,East,Maria Garcia,Tariq Khan,"9,017,957.00","Thursday, December 29, 2011",2011,Dec,Winter
USA,Maine,ME,North,Ingrid Svensson,Mohammad Rahman,"6,113,091.00","Monday, December 16, 2013",2013,Dec,Winter
USA,Arizona,AZ,North,Nguyen Minh,Elena Costa,"3,958,877.00","Saturday, August 20, 2011",2011,Aug,Summer
USA,Montana,MT,South-West,Carlos Rodriguez,Elena Costa,"6,212,052.00","Friday, March 11, 2016",2016,Mar,Spring
USA,Arizona,AZ,South,Fatima Mohamed,Sophia Li,"1,139,924.00","Sunday, December 23, 2012",2012,Dec,Winter
USA,Wisconsin,WI,South-East,Nguyen Minh,Mei Chen,"1,430,067.00","Saturday, May 21, 2016",2016,May,Spring
USA,Wyoming,WY,South-West,Ingrid Svensson,Mei Chen,"9,451,027.00","Saturday, March 25, 2017",2017,Mar,Spring
USA,Idaho,ID,South-West,Leila Abadi,Sophia Li,"12,362,954.00","Friday, April 12, 2019",2019,Apr,Spring
USA,District of Columbia,DC,South,Marcelo Silva,Sophia Li,"12,787,446.00","Saturday, February 13, 2010",2010,Feb,Winter
USA,Oregon,OR,South,Ingrid Svensson,Sophia Li,"2,951,812.00","Thursday, June 25, 2015",2015,Jun,Summer
